101,JAN,m,MGR,HR,1000
102,FEB,f,PL,ADMIN,1500
103,MAR,f,PM,FINANCE,2000
104,APR,m,TL,PROCUREMENT,2500
105,MAY,m,ADMIN,IT,3000
106,JUN,m,SE,TESTING,3500
107,JUL,f,HR,R & D,4000
108,AUG,m,ARCHITECT,HELP DESK,4500
109,SEP,f,ANALYST,STORES,5000
110,OCT,m,DP,MARKETING,5500
111,NOV,f,DIRECTOR,L & D,6000
112,DEC,m,MGR,HR,6500
113,JAN,f,PL,ADMIN,7000
114,FEB,f,PM,FINANCE,7500
115,MAR,m,TL,PROCUREMENT,8000
116,APR,m,ADMIN,IT,8500
117,MAY,f,SE,TESTING,9000
118,JUN,f,HR,R & D,9500
119,JUL,m,ARCHITECT,HELP DESK,10000
120,AUG,m,ANALYST,STORES,10500
121,SEP,m,DP,MARKETING,11000
122,OCT,f,DIRECTOR,L & D,11500
123,NOV,m,MGR,HR,12000
124,DEC,f,PL,ADMIN,12500
125,JAN,m,PM,FINANCE,13000
126,FEB,f,TL,PROCUREMENT,13500
127,MAR,m,ADMIN,IT,14000
128,APR,f,SE,TESTING,14500
129,MAY,f,HR,R & D,15000
130,JUN,m,ARCHITECT,HELP DESK,15500
131,JUL,m,ANALYST,STORES,16000
132,AUG,f,DP,MARKETING,16500
133,SEP,f,DIRECTOR,L & D,17000
134,OCT,m,MGR,HR,17500
135,NOV,m,PL,ADMIN,18000
136,DEC,m,PM,FINANCE,18500
137,JAN,f,TL,PROCUREMENT,19000
138,FEB,m,ADMIN,IT,19500
139,MAR,f,SE,TESTING,20000
140,APR,m,HR,R & D,20500
141,MAY,f,ARCHITECT,HELP DESK,21000
142,JUN,m,ANALYST,STORES,21500
143,JUL,f,DP,MARKETING,22000
144,AUG,f,DIRECTOR,L & D,22500
145,SEP,m,MGR,HR,23000
146,OCT,m,PL,ADMIN,23500
147,NOV,f,PM,FINANCE,24000
148,DEC,f,TL,PROCUREMENT,24500
149,JAN,m,ADMIN,IT,25000
150,FEB,m,SE,TESTING,25500
151,MAR,m,HR,R & D,26000
152,APR,f,ARCHITECT,HELP DESK,26500
153,MAY,m,ANALYST,STORES,27000
154,JUN,f,DP,MARKETING,27500
155,JUL,m,DIRECTOR,L & D,28000
156,AUG,f,MGR,HR,28500
157,SEP,m,PL,ADMIN,29000
158,OCT,f,PM,FINANCE,29500
159,NOV,f,TL,PROCUREMENT,30000
160,DEC,m,ADMIN,IT,30500
161,JAN,m,SE,TESTING,31000
162,FEB,f,HR,R & D,31500
163,MAR,f,ARCHITECT,HELP DESK,32000
164,APR,m,ANALYST,STORES,32500
165,MAY,m,DP,MARKETING,33000
166,JUN,m,DIRECTOR,L & D,33500
167,JUL,f,MGR,HR,34000
168,AUG,m,PL,ADMIN,34500
169,SEP,f,PM,FINANCE,35000
170,OCT,m,TL,PROCUREMENT,35500
171,NOV,f,ADMIN,IT,36000
172,DEC,m,SE,TESTING,36500
173,JAN,f,HR,R & D,37000
174,FEB,f,ARCHITECT,HELP DESK,37500
175,MAR,m,ANALYST,STORES,38000
176,APR,m,DP,MARKETING,38500
177,MAY,f,DIRECTOR,L & D,39000
178,JUN,f,MGR,HR,39500
179,JUL,m,PL,ADMIN,40000
180,AUG,m,PM,FINANCE,40500
181,SEP,m,TL,PROCUREMENT,41000
182,OCT,f,ADMIN,IT,41500
183,NOV,m,SE,TESTING,42000
184,DEC,f,HR,R & D,42500
185,JAN,m,ARCHITECT,HELP DESK,43000
186,FEB,f,ANALYST,STORES,43500
187,MAR,m,DP,MARKETING,44000
188,APR,f,DIRECTOR,L & D,44500
189,MAY,f,MGR,HR,45000
190,JUN,m,PL,ADMIN,45500
191,JUL,m,PM,FINANCE,46000
192,AUG,f,TL,PROCUREMENT,46500
193,SEP,f,ADMIN,IT,47000
194,OCT,m,SE,TESTING,47500
195,NOV,m,HR,R & D,48000
196,DEC,m,ARCHITECT,HELP DESK,48500
197,JAN,f,ANALYST,STORES,49000
198,FEB,m,DP,MARKETING,49500
199,MAR,f,DIRECTOR,L & D,50000
200,APR,m,MGR,HR,50500
201,MAY,f,PL,ADMIN,51000
202,JUN,m,PM,FINANCE,51500
203,JUL,f,TL,PROCUREMENT,52000
204,AUG,f,ADMIN,IT,52500
205,SEP,m,SE,TESTING,53000
206,OCT,m,HR,R & D,53500
207,NOV,f,ARCHITECT,HELP DESK,54000
208,DEC,f,ANALYST,STORES,54500
209,JAN,m,DP,MARKETING,55000
210,FEB,m,DIRECTOR,L & D,55500
211,MAR,m,MGR,HR,56000
212,APR,f,PL,ADMIN,56500
213,MAY,m,PM,FINANCE,57000
214,JUN,f,TL,PROCUREMENT,57500
215,JUL,m,ADMIN,IT,58000
216,AUG,f,SE,TESTING,58500
217,SEP,m,HR,R & D,59000
218,OCT,f,ARCHITECT,HELP DESK,59500
219,NOV,f,ANALYST,STORES,60000
220,DEC,m,DP,MARKETING,60500
221,JAN,m,DIRECTOR,L & D,61000
222,FEB,f,MGR,HR,61500
223,MAR,f,PL,ADMIN,62000
224,APR,m,PM,FINANCE,62500
225,MAY,m,TL,PROCUREMENT,63000
226,JUN,m,ADMIN,IT,63500
227,JUL,f,SE,TESTING,64000
228,AUG,m,HR,R & D,64500
229,SEP,f,ARCHITECT,HELP DESK,65000
